A,B,C,D
-1913,-347,-299,-2559
-1776,-294,-296,-2366
-1639,-241,-291,-2171
1.5,2.5,6.0,10
-1502,-188,-284,-1974
foo,3,4,foo34
-1365,-135,-275,-1775
-1228,-82,-264,-1574
0.5,0.25,0.25,1
-1091,-29,-251,-1371
-954,24,-236,-1166
-817,77,-219,-959
2.5,2.5,2.5,7.5
-680,130,-200,-750
-543,183,-179,-539
-406,236,-156,-326
10.5,-3.5,1.0,8
-269,289,-131,-111
-132,342,-104,106
5,395,-75,325
100.25,-0.25,4.0,104
12,bar,7,12bar7
142,448,-44,546
279,-399,-11,-131
416,-346,24,94
-1.5,-2.5,-6.0,-10
553,-293,61,321
690,-240,100,550
827,-187,141,781
3.25,3.25,3.5,10
964,-134,184,1014
1101,-81,229,1249
1238,-28,276,1486
0.0,0.0,5.0,5
1375,25,325,1725
1512,78,376,1966
1649,131,429,2209
9,8,baz,98baz
1786,184,484,2454
1923,237,541,2701
2060,290,600,2950
