A,B,C
-1913,-347,-299
-1776,-294,-296
-1639,-241,-291
1.5,2.5,6.0
-1502,-188,-284
foo,3,4
-1365,-135,-275
-1228,-82,-264
0.5,0.25,0.25
-1091,-29,-251
-954,24,-236
-817,77,-219
2.5,2.5,2.5
-680,130,-200
-543,183,-179
-406,236,-156
10.5,-3.5,1.0
-269,289,-131
-132,342,-104
5,395,-75
100.25,-0.25,4.0
12,bar,7
142,448,-44
279,-399,-11
416,-346,24
-1.5,-2.5,-6.0
553,-293,61
690,-240,100
827,-187,141
3.25,3.25,3.5
964,-134,184
1101,-81,229
1238,-28,276
0.0,0.0,5.0
1375,25,325
1512,78,376
1649,131,429
9,8,baz
1786,184,484
1923,237,541
2060,290,600
